unit_id	unit_name	hsk	course	unit_order	visible
1	intro	2	hsk	1	1
2	food	2	hsk	2	1
3	family	2	hsk	3	1
4	money	2	hsk	4	1
5	store	2	hsk	5	1
6	date	2	hsk	6	1
7	time	2	hsk	7	1
9	home	2	hsk	9	1
12	transportation	2	hsk	12	1
13	food II	2	hsk	13	1
14	reading	2	hsk	14	1
15	school	2	hsk	15	1
16	weather	2	hsk	16	1
17	communication	2	hsk	17	1
18	clothing	2	hsk	18	1
19	doctor	2	hsk	19	1
21	work	2	hsk	21	1
22	directions	2	hsk	22	1
23	activities	2	hsk	23	1
24	family II	3	hsk	24	1
25	food III	3	hsk	25	1
26	home II	3	hsk	26	1
27	nature	3	hsk	27	1
28	work II	3	hsk	28	1
29	places	3	hsk	29	1
30	health II	3	hsk	32	1
31	writing	3	hsk	31	1
32	clothes II	3	hsk	30	1
33	school II	3	hsk	33	1
34	exercise	3	hsk	34	1
35	animals	3	hsk	35	1
36	celebrations	3	hsk	39	1
37	assistence	3	hsk	37	1
38	possetions	3	hsk	38	1
39	seasons	3	hsk	36	1
40	activities	3	hsk	40	1
41	banking	3	hsk	41	1
42	people	3	hsk	42	1
43	feelings II	3	hsk	43	1
44	food IV	3	hsk	44	1
47	travel	4	hsk	47	1
48	food V	4	hsk	48	1
49	school III	4	hsk	49	1
50	nature II	4	hsk	50	1
51	work II	4	hsk	51	1
52	transportation III	4	hsk	52	1
53	home III	4	hsk	53	1
54	health III	4	hsk	54	1
55	shopping	4	hsk	55	1
56	family III	4	hsk	56	1
57	reading	4	hsk	57	1
58	government	4	hsk	58	1
59	sports	4	hsk	59	1
60	time III	4	hsk	60	1
61	events	4	hsk	61	1
62	looks	4	hsk	62	1
63	relationships	4	hsk	63	1
66	tv/entertainment	4	hsk	66	1
70	Communication	4	hsk	70	1
71	epithets	4	hsk	71	1
72	technology	4	hsk	72	1
73	police	4	hsk	73	1
78	food VI	4	hsk	78	1
79	rlues	4	hsk	79	1
80	wheather	4	hsk	80	1
82	nationality	4	hsk	82	1
83	quality	4	hsk	83	1
84	feelings	4	hsk	84	1
87	intro		wuxia	1	1
88	insults		wuxia	13	0
89	medicine		wuxia	3	1
90	cultivation levels		wuxia	4	1
91	places	4	hsk	91	1
92	sleep	4	hsk	92	1
93	plans	4	hsk	93	1
94	acting	4	hsk	94	1
95	school IV	4	hsk	95	1
96	weapons		wuxia	2	1
97	ect		wuxia	15	0
98	phrases		wuxia	8	1
99	colors		wuxia	10	1
100	gems		wuxia	12	0
101	animals		wuxia	7	1
102	sects		wuxia	6	1
103	clans		wuxia	9	1
